"dataset_name","function_name","id","episode_id","input","output","output_schema","tags","auxiliary","is_deleted","updated_at"
"foo","extract_entities","01935c42-01d0-7020-8657-b1e72901392b","0192ced0-a2b6-7083-8c26-c20166f26756","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""287 Ian Woosnam 70 76 71 70""}]}]}","{""raw"":""{\""person\"":[\""Ian Woosnam\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Ian Woosnam""],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193786f-14b0-7522-8657-d658c2603291","0192ced0-a2c7-7c83-96e1-bdec0d19cf59","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""\"" Last year we stood on the court after we had lost and we put out hands together and made it our committment to bring back the Cup , \"" U.S. captain Billie Jean King said at the draw . \""""}]}]}","{""raw"":""{\""person\"":[\""Billie Jean King\""],\""organization\"":[],\""location\"":[\""U.S.\""],\""miscellaneous\"":[\""Cup\""]}"",""parsed"":{""person"":[""Billie Jean King""],""organization"":[],""location"":[""U.S.""],""miscellaneous"":[""Cup""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01938e59-3fd0-7fc0-874c-113e955fd65d","0192ced0-949f-7193-8e91-baa3ee76e8e4","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""ATHLETICS - HARRISON , EDWARDS TO MEET IN SARAJEVO .""}]}]}","{""raw"":""{\""person\"":[\""HARRISON\"",\""EDWARDS\""],\""organization\"":[],\""location\"":[\""SARAJEVO\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""HARRISON"",""EDWARDS""],""organization"":[],""location"":[""SARAJEVO""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","019373bc-e6e0-7e50-8822-af9bacfafe9a","0192ced0-a2c6-7323-be23-ce1897dfcb38","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""6. Oksana Grichina ( Russia ) 36.242""}]}]}","{""raw"":""{\""person\"":[\""Oksana Grichina\""],\""organization\"":[],\""location\"":[\""Russia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Oksana Grichina""],""organization"":[],""location"":[""Russia""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01934ef3-d558-79d3-896e-c5d9fb89103d","0192ced0-a2c6-7323-be23-ce2a24429833","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Sjeng Schalken ( Netherlands ) beat David Rikl ( Czech Republic ) 6 - 2 6-4 6-4""}]}]}","{""raw"":""{\""person\"":[\""Sjeng Schalken\"",\""David Rikl\""],\""organization\"":[],\""location\"":[\""Netherlands\"",\""Czech Republic\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Sjeng Schalken"",""David Rikl""],""organization"":[],""location"":[""Netherlands"",""Czech Republic""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193917a-b3b0-78c3-89ea-020d8b84590e","0192ced0-949f-7193-8e91-bac43f3c3b38","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""SOCCER - AUSTRIA DOMINATE SCOTLAND IN WORLD CUP QUALIFIER .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""AUSTRIA\"",\""SCOTLAND\""],\""miscellaneous\"":[\""WORLD CUP\""]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""AUSTRIA"",""SCOTLAND""],""miscellaneous"":[""WORLD CUP""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01936cb1-a228-70d3-8cdf-3782b5184baa","0192ced0-a2b9-7e93-b3cd-cfa552758353","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Southend 1 Swindon 3""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Southend\"",\""Swindon\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""Southend"",""Swindon""],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01934c9a-be70-74e2-8e6d-8eb19531638c","0192ced0-a2b6-7083-8c26-c22a78a1b54d","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Natalia Karimova ( Russia ) 3:40.036 beat Yvonne McGregor""}]}]}","{""raw"":""{\""person\"":[\""Natalia Karimova\"",\""Yvonne McGregor\""],\""organization\"":[],\""location\"":[\""Russia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Natalia Karimova"",""Yvonne McGregor""],""organization"":[],""location"":[""Russia""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","019396f5-3e78-7a63-8ec1-7cab9f8f804c","0192ced0-949d-7063-900d-a4e0d31e69c4","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""DETROIT 1996-08-31""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""DETROIT\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""DETROIT""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01936990-2e48-7461-9115-7fd3b31d3891","0192ced0-a2c6-7323-be23-cd21b7b4f97f","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""9. Mauricio Gugelmin ( Brazil ) , Reynard Ford Cosworth , 54.762""}]}]}","{""raw"":""{\""person\"":[\""Mauricio Gugelmin\""],\""organization\"":[\""Reynard Ford Cosworth\""],\""location\"":[\""Brazil\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Mauricio Gugelmin""],""organization"":[""Reynard Ford Cosworth""],""location"":[""Brazil""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193722c-2cf0-7c90-92d8-3af75369acfa","0192ced0-a2c6-7323-be23-ce0171b11a17","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""But on Saturday the people gathered just outside the town seemed to be united in favour of the separatists .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193754d-a0d0-7642-93fa-367daeea7c8f","0192ced0-a2c8-7f73-9b38-da79e548e53c","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Southend 1 Swindon 3""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Southend\"",\""Swindon\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""Southend"",""Swindon""],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193709b-7300-75d3-9412-f9e6c3076400","0192ced0-a2c7-7c83-96e1-bdacce06b6e6","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Brechin 3 0 3 0 2 2 3""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Brechin\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""Brechin""],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01936be9-4530-7100-9531-ab04f7d40b2b","0192ced0-a2c6-7323-be23-cd6fd27bfa59","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Natalia Karimova ( Russia ) 3:40.036 beat Yvonne McGregor""}]}]}","{""raw"":""{\""person\"":[\""Natalia Karimova\"",\""Yvonne McGregor\""],\""organization\"":[],\""location\"":[\""Russia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Natalia Karimova"",""Yvonne McGregor""],""organization"":[],""location"":[""Russia""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01936b20-e838-7322-956f-cd5a5d56f5fa","0192ced0-a2c9-7dc3-8865-44a2b090607b","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""\"" I told Monica we need her if we want to win , \"" King said .""}]}]}","{""raw"":""{\n    \""person\"": [\""Monica\"", \""King\""],\n    \""organization\"": [],\n    \""location\"": [],\n    \""miscellaneous\"": []\n}"",""parsed"":{""person"":[""Monica"",""King""],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01937de9-9f78-77b3-97bb-b451aa58241b","0192ced0-948b-7ed0-a104-7981cc98423e","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""SOCCER - AUSTRIA DOMINATE SCOTLAND IN WORLD CUP QUALIFIER .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""Austria\"",\""Scotland\""],\""miscellaneous\"":[\""World Cup\""]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""Austria"",""Scotland""],""miscellaneous"":[""World Cup""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01939564-8488-7fe3-98cb-052521678f21","0192ced0-949e-71e3-965b-2802ea9341a1","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Division three""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
